Vocabulary-Kanji,Vocabulary-Furigana,Vocabulary-Kana,Vocabulary-English,Vocabulary-Pos,Expression,Reading,Sentence-Kana,Sentence-English,Sentence-Clozed
この間,この 間[あいだ],このあいだ,"the other day, recently",Noun,<b>この間</b>彼女に会った。,<b>この 間[あいだ]</b> 彼女[かのじょ]に 会[あ]った。,<b>このあいだ</b> かのじょ に あった,I met her the other day.,<b>（　）</b> 彼女[かのじょ]に 会[あ]った。
間,間[あいだ],あいだ,interval,Noun,雲の<b>間</b>から月が出た。,雲[くも]の<b> 間[あいだ]</b>から 月[つき]が 出[で]た。,くも の <b>あいだ</b> から つき が でた,The moon came out from between the clouds.,雲[くも]の<b>（　）</b>から 月[つき]が 出[で]た。
人間,人間[にんげん],にんげん,"human being, people",Noun,<b>人間</b>の心は複雑です。,<b> 人間[にんげん]</b>の 心[こころ]は 複雑[ふくざつ]です。,<b>にんげん</b> の こころ は ふくざつ です,Man's mind is complex.,<b>（　）</b>の 心[こころ]は 複雑[ふくざつ]です。
かつて,かつて,かつて,"once, formerly",Adverb,<b>かつて</b>私が学生だった頃のことです。,<b>かつて</b> 私[わたし]が 学生[がくせい]だった 頃[ころ]のことです。,<b>かつて</b> わたし が がくせい だった ころ の こと です,That was when I was still a student.,<b>（　）</b> 私[わたし]が 学生[がくせい]だった 頃[ころ]のことです。
高さ,高[たか]さ,たかさ,height,Noun,"富士山の<b>高さ</b>は3,776メートルです。","富士山[ふじさん]の<b> 高[たか]さ</b>は 3,776[さんぜんななひゃく-ななじゅうろく]メートルです。",ふじさん の <b>たかさ</b> は さんぜんななひゃく-ななじゅうろくめーとる です,"The height of Mt. Fuji is 3,776m.","富士山[ふじさん]の<b>（　）</b>は 3,776[さんぜんななひゃく-ななじゅうろく]メートルです。"
最大,最大[さいだい],さいだい,"biggest, largest",Noun,これは世界<b>最大</b>の船です。,これは 世界[せかい]<b> 最大[さいだい]</b>の 船[ふね]です。,これ は せかい <b>さいだい</b> の ふね です,This is the world's largest ship.,これは 世界[せかい]<b>（　）</b>の 船[ふね]です。
初めて,初[はじ]めて,はじめて,for the first time,Adverb,東京に来るのは<b>初めて</b>です。,東京[とうきょう]に 来[く]るのは<b> 初[はじ]めて</b>です。,とうきょう に くる の は <b>はじめて</b> です 。,It's the first time I've been to Tokyo.,東京[とうきょう]に 来[く]るのは<b>（　）</b>です。
最初,最初[さいしょ],さいしょ,"first, outset",Noun,5ページの<b>最初</b>を見てください。,5[ご]ページの<b> 最初[さいしょ]</b>を 見[み]てください。,ごぺーじ の <b>さいしょ</b> を みて ください,Please look at the beginning of page 5.,5[ご]ページの<b>（　）</b>を 見[み]てください。
スポーツ,スポーツ,スポーツ,sport,Noun,あなたは何か<b>スポーツ</b>をしていますか。,あなたは 何[なに]か<b>スポーツ</b>をしていますか。,あなた は なにか <b>すぽーつ</b> を して います か,Which sport do you play?,あなたは 何[なに]か<b>（　）</b>をしていますか。
初め,初[はじ]め,はじめ,beginning,Noun,<b>初め</b>は上手くできませんでした。,<b> 初[はじ]め</b>は 上手[うま]くできませんでした。,<b>はじめ</b> は うまく できません でした 。,I couldn't do it well at first.,<b>（　）</b>は 上手[うま]くできませんでした。
今後,今後[こんご],こんご,"after this, in the future",Noun,<b>今後</b>ともよろしくお願いします。,<b> 今後[こんご]</b>ともよろしくお 願[ねが]いします。,<b>こんご</b> とも よろしく おねがい します,I look forward to working with you in the future.,<b>（　）</b>ともよろしくお 願[ねが]いします。
後,後[のち],のち,"after, afterwards",Noun,<b>後</b>に彼は総理大臣になりました。,<b> 後[のち]</b>に 彼[かれ]は 総理大臣[そうり だいじん]になりました。,<b>のち</b> に かれ は そうり だいじん に なりました,He would later become Prime Minister.,<b>（　）</b>に 彼[かれ]は 総理大臣[そうり だいじん]になりました。
最後,最後[さいご],さいご,"last, final",Noun,今日が夏休み<b>最後</b>の日だ。,今日[きょう]が 夏休[なつやす]み<b> 最後[さいご]</b>の 日[ひ]だ。,きょう が なつやすみ <b>さいご</b> の ひ だ,Today's the last day of summer vacation.,今日[きょう]が 夏休[なつやす]み<b>（　）</b>の 日[ひ]だ。
なぜ,なぜ,なぜ,"why, for what reason",Adverb,<b>なぜ</b>来なかったの。,<b>なぜ</b> 来[こ]なかったの。,<b>なぜ</b> こなかった の,Why didn't you come?,<b>（　）</b> 来[こ]なかったの。
明後日,明後日[あさって],あさって,day after tomorrow,Noun,<b>明後日</b>は休日です。,<b> 明後日[あさって]</b>は 休日[きゅうじつ]です。,<b>あさって</b> は きゅうじつ です 。,The day after tomorrow's a holiday.,<b>（　）</b>は 休日[きゅうじつ]です。
牛,牛[うし],うし,"cattle, cow",Noun,<b>牛</b>が草を食べています。,<b> 牛[うし]</b>が 草[くさ]を 食[た]べています。,<b>うし</b> が くさ を たべて います,The cow is eating grass.,<b>（　）</b>が 草[くさ]を 食[た]べています。
半分,半分[はんぶん],はんぶん,half,Noun,お菓子を友達に<b>半分</b>あげた。,お 菓子[かし]を 友達[ともだち]に<b> 半分[はんぶん]</b>あげた。,おかし を ともだち に <b>はんぶん</b> あげた,I gave half the sweets to a friend.,お 菓子[かし]を 友達[ともだち]に<b>（　）</b>あげた。
半年,半年[はんとし],はんとし,half a year,Noun,日本に来て<b>半年</b>になります。,日本[にっぽん]に 来[き]て<b> 半年[はんとし]</b>になります。,にっぽん に きて <b>はんとし</b> に なります,It has been half a year since I came to Japan.,日本[にっぽん]に 来[き]て<b>（　）</b>になります。
そのまま,そのまま,そのまま,"like that, unchanged",Adverb,<b>そのまま</b>お待ちください。,<b>そのまま</b>お 待[ま]ちください。,<b>そのまま</b> おまち ください,Please just wait a bit.,<b>（　）</b>お 待[ま]ちください。
半月,半月[はんつき],はんつき,half a month,Noun,<b>半月</b>前に日本に来ました。,<b> 半月[はんつき]</b> 前[まえ]に 日本[にほん]に 来[き]ました。,<b>はんつき</b>まえ に にほん に きました,I came to Japan half a month ago.,<b>（　）</b> 前[まえ]に 日本[にほん]に 来[き]ました。
半日,半日[はんにち],はんにち,half a day,Noun,今日は<b>半日</b>だけ仕事だ。,今日[きょう]は<b> 半日[はんにち]</b>だけ 仕事[しごと]だ。,きょう は <b>はんにち</b> だけ しごと だ,I'm working only a half-day today.,今日[きょう]は<b>（　）</b>だけ 仕事[しごと]だ。
毎朝,毎朝[まいあさ],まいあさ,every morning,Noun,私は<b>毎朝</b>ジョギングをします。,私[わたし]は<b> 毎朝[まいあさ]</b>ジョギングをします。,わたし は <b>まいあさ</b> じょぎんぐ を します,I jog every morning.,私[わたし]は<b>（　）</b>ジョギングをします。
今朝,今朝[けさ],けさ,this morning,Noun,<b>今朝</b>から頭が痛い。,<b> 今朝[けさ]</b>から 頭[あたま]が 痛[いた]い。,<b>けさ</b> から あたま が いたい,I've had a headache since this morning.,<b>（　）</b>から 頭[あたま]が 痛[いた]い。
もし,もし,もし,"if, in case of",Adverb,<b>もし</b>雨が降ったら、行きません。,<b>もし</b> 雨[あめ]が 降[ふ]ったら、 行[い]きません。,<b>もし</b> あめ が ふったら いきません,I won't go if it rains.,<b>（　）</b> 雨[あめ]が 降[ふ]ったら、 行[い]きません。
昼休み,昼休[ひるやす]み,ひるやすみ,"noon recess, lunch break",Noun,<b>昼休み</b>に公園に行った。,<b> 昼休[ひるやす]み</b>に 公園[こうえん]に 行[い]った。,<b>ひるやすみ</b> に こうえん に いった,I went to the park at lunchtime.,<b>（　）</b>に 公園[こうえん]に 行[い]った。
昼前,昼前[ひるまえ],ひるまえ,"in the morning, before noon",Noun,<b>昼前</b>に会議があった。,<b> 昼前[ひるまえ]</b>に 会議[かいぎ]があった。,<b>ひるまえ</b> に かいぎ が あった,There was a meeting in the morning.,<b>（　）</b>に 会議[かいぎ]があった。
昼間,昼間[ひるま],ひるま,"daytime, day",Noun,<b>昼間</b>は仕事で忙しいです。,<b> 昼間[ひるま]</b>は 仕事[しごと]で 忙[いそが]しいです。,<b>ひるま</b> は しごと で いそがしい です,I'm busy with work in the daytime.,<b>（　）</b>は 仕事[しごと]で 忙[いそが]しいです。
毎晩,毎晩[まいばん],まいばん,every evening,Noun,姉は<b>毎晩</b>日記を書いています。,姉[あね]は<b> 毎晩[まいばん]</b> 日記[にっき]を 書[か]いています。,あね は <b>まいばん</b> にっき を かいて います,My older sister writes in her diary every evening.,姉[あね]は<b>（　）</b> 日記[にっき]を 書[か]いています。
つもり,つもり,つもり,"intention, purpose",Noun,明日からタバコを止める<b>つもり</b>です。,明日[あした]からタバコを 止[や]める<b>つもり</b>です。,あした から たばこ を やめる <b>つもり</b> です,I'll stop smoking as of tomorrow.,明日[あした]からタバコを 止[や]める<b>（　）</b>です。
今夜,今夜[こんや],こんや,"tonight, this evening",Noun,<b>今夜</b>は月がとてもきれいです。,<b> 今夜[こんや]</b>は 月[つき]がとてもきれいです。,<b>こんや</b> は つき が とても きれい です,The moon is very beautiful tonight.,<b>（　）</b>は 月[つき]がとてもきれいです。
昨夜,昨夜[ゆうべ],ゆうべ,"last night, last evening",Noun,<b>昨夜</b>、流れ星を見ました。,<b> 昨夜[ゆうべ]</b>、 流[なが]れ 星[ぼし]を 見[み]ました。,<b>ゆうべ</b> ながれぼし を みました,I saw some shooting stars last night.,<b>（　）</b>、 流[なが]れ 星[ぼし]を 見[み]ました。
夜中,夜中[よなか],よなか,"midnight, dead of night",Noun,<b>夜中</b>に電話がありました。,<b> 夜中[よなか]</b>に 電話[でんわ]がありました。,<b>よなか</b> に でんわ が ありました,I got a telephone call in the middle of the night.,<b>（　）</b>に 電話[でんわ]がありました。
夕方,夕方[ゆうがた],ゆうがた,evening,Noun,<b>夕方</b>そちらに着きます。,<b> 夕方[ゆうがた]</b>そちらに 着[つ]きます。,<b>ゆうがた</b> そちら に つきます,I'll arrive there in the evening.,<b>（　）</b>そちらに 着[つ]きます。
やっと,やっと,やっと,"at last, finally",Adverb,<b>やっと</b>仕事が終わりました。,<b>やっと</b> 仕事[しごと]が 終[お]わりました。,<b>やっと</b> しごと が おわりました,"Finally, I finished my work.",<b>（　）</b> 仕事[しごと]が 終[お]わりました。
昼食,昼食[ちゅうしょく],ちゅうしょく,lunch,Noun,<b>昼食</b>に寿司を食べました。,<b> 昼食[ちゅうしょく]</b>に 寿司[すし]を 食[た]べました。,<b>ちゅうしょく</b> に すし を たべました,I ate sushi for lunch.,<b>（　）</b>に 寿司[すし]を 食[た]べました。
朝食,朝食[ちょうしょく],ちょうしょく,breakfast,Noun,<b>朝食</b>に納豆を食べました。,<b> 朝食[ちょうしょく]</b>に 納豆[なっとう]を 食[た]べました。,<b>ちょうしょく</b> に なっとう を たべました,I ate natto for breakfast.,<b>（　）</b>に 納豆[なっとう]を 食[た]べました。
夕食,夕食[ゆうしょく],ゆうしょく,supper,Noun,<b>夕食</b>は7時です。,<b> 夕食[ゆうしょく]</b>は 7時[しちじ]です。,<b>ゆうしょく</b> は しちじ です,Dinner's at seven o'clock.,<b>（　）</b>は 7時[しちじ]です。
